,index,x0,w,sigma,c,t,iata,latitude,longitude,country,state,region
0,0,0.48374325268226215,0.00866842978803153,0.21868891196482237,0.6662125081029145,63.03238322429713,1G4,35.99027778,-113.81638889,US,AZ,west
1,1,0.4966533527647486,0.022670500086704706,0.21868891196482237,0.6662125081029145,63.03238322429713,DQS,36.25972222,-113.23138889,US,AZ,west
2,2,0.498290330762627,0.043896393365505534,0.21868891196482237,0.6662125081029145,63.03238322429713,VGT,36.2125,-115.19694444,US,NV,west
3,3,0.46746749320904757,0.005355918715171581,0.21868891196482237,0.6662125081029145,63.03238322429713,6B0,43.98472222,-73.09583333,US,VT,east
4,4,0.30295508825823736,0.9842764023750671,0.21868891196482237,0.6662125081029145,63.03238322429713,HPN,41.06888889,-73.70777778,US,NY,east
5,5,0.26368281275495886,0.47731482460354735,0.21868891196482237,0.6662125081029145,63.03238322429713,ABE,40.65472222,-75.43833333,US,PA,east
6,6,0.5002368095366724,0.049552279976794865,0.21868891196482237,0.6662125081029145,63.03238322429713,ALO,42.55611111,-92.39972222,US,IA,centre
7,7,0.2931462699493402,1.7948668496983664,0.21868891196482237,0.6662125081029145,63.03238322429713,ATL,33.64083333,-84.42722222,US,GA,east
8,8,0.2971220837343545,0.36406913186136436,0.21868891196482237,0.6662125081029145,63.03238322429713,ATW,44.25777778,-88.52,US,WI,centre
9,9,0.35167274663212944,0.20927959857636758,0.21868891196482237,0.6662125081029145,63.03238322429713,AZO,42.23638889,-85.55361111,US,MI,east
10,10,0.3480211345914191,1.241278356731226,0.21868891196482237,0.6662125081029145,63.03238322429713,BHM,33.56305556,-86.75555556,US,AL,centre
11,11,0.4768348080172518,0.0683934452324573,0.21868891196482237,0.6662125081029145,63.03238322429713,BIF,31.84944444,-106.37944444,US,TX,centre
12,12,0.3831710507868555,1.746705129533648,0.21868891196482237,0.6662125081029145,63.03238322429713,BNA,36.12666667,-86.68194444,US,TN,east
13,13,0.25109521051104966,0.6106360856204663,0.21868891196482237,0.6662125081029145,63.03238322429713,CHS,32.89916667,-80.03888889,US,SC,east
14,14,0.3464670069492509,0.442820685699762,0.21868891196482237,0.6662125081029145,63.03238322429713,CID,41.88444444,-91.70611111,US,IA,centre
15,15,0.32895961585156935,1.7328663046326387,0.21868891196482237,0.6662125081029145,63.03238322429713,CLE,41.41083333,-81.84944444,US,OH,east
16,16,0.38088188634817227,1.2152464153373652,0.21868891196482237,0.6662125081029145,63.03238322429713,CLT,35.21916667,-80.93583333,US,NC,east
17,17,0.26646478838942583,0.8448107182464915,0.21868891196482237,0.6662125081029145,63.03238322429713,DAY,39.90111111,-84.22,US,OH,east
18,18,0.5036329738054761,1.751727086227946,0.21868891196482237,0.6662125081029145,63.03238322429713,DFW,32.89444444,-97.02972222,US,TX,centre
19,19,0.38974367733029774,0.3056891351585273,0.21868891196482237,0.6662125081029145,63.03238322429713,DLH,46.8425,-92.19027778,US,MN,centre
20,20,0.5098748140766626,0.9455962684652295,0.21868891196482237,0.6662125081029145,63.03238322429713,DSM,41.53388889,-93.65666667,US,IA,centre
21,21,0.39253115297580926,1.7887029533494958,0.21868891196482237,0.6662125081029145,63.03238322429713,DTW,42.21666667,-83.34444444,US,MI,east
22,22,0.3146968746112697,0.16922063556159742,0.21868891196482237,0.6662125081029145,63.03238322429713,ERI,42.08,-80.17861111,US,PA,east
23,23,0.544141833929047,1.0015475721851606,0.21868891196482237,0.6662125081029145,63.03238322429713,FLL,26.07416667,-80.15166667,US,FL,east
