,index,x0,w,sigma,c,t,iata,latitude,longitude,country,state,region
0,0,0.6287759324598159,0.01957703048275309,0.3423673075043759,0.861499919552094,81.90143604460215,1G4,35.99027778,-113.81638889,US,AZ,west
1,1,0.3252841103503134,0.03152752750268885,0.3423673075043759,0.861499919552094,81.90143604460215,DQS,36.25972222,-113.23138889,US,AZ,west
2,2,0.2531610417939164,0.04283338232604675,0.3423673075043759,0.861499919552094,81.90143604460215,VGT,36.2125,-115.19694444,US,NV,west
3,3,0.8868279928421339,0.011204892812232845,0.3423673075043759,0.861499919552094,81.90143604460215,6B0,43.98472222,-73.09583333,US,VT,east
4,4,0.39040597742265004,0.9511990565386592,0.3423673075043759,0.861499919552094,81.90143604460215,HPN,41.06888889,-73.70777778,US,NY,east
5,5,0.8544015336940187,0.5191781059635683,0.3423673075043759,0.861499919552094,81.90143604460215,ABE,40.65472222,-75.43833333,US,PA,east
6,6,0.7933429434562571,0.050316862009716634,0.3423673075043759,0.861499919552094,81.90143604460215,ALO,42.55611111,-92.39972222,US,IA,centre
7,7,0.27912783531792446,1.7440152587300521,0.3423673075043759,0.861499919552094,81.90143604460215,ATL,33.64083333,-84.42722222,US,GA,east
8,8,0.06290693368436656,0.3876173738012478,0.3423673075043759,0.861499919552094,81.90143604460215,ATW,44.25777778,-88.52,US,WI,centre
9,9,0.8232131182443561,0.21185671348719456,0.3423673075043759,0.861499919552094,81.90143604460215,AZO,42.23638889,-85.55361111,US,MI,east
10,10,0.7151915657338759,1.2221085005308434,0.3423673075043759,0.861499919552094,81.90143604460215,BHM,33.56305556,-86.75555556,US,AL,centre
11,11,0.6360402951398543,0.06841246670781079,0.3423673075043759,0.861499919552094,81.90143604460215,BIF,31.84944444,-106.37944444,US,TX,centre
12,12,0.16409594765877542,1.7157939882067863,0.3423673075043759,0.861499919552094,81.90143604460215,BNA,36.12666667,-86.68194444,US,TN,east
13,13,0.8455262934936143,0.581621412536364,0.3423673075043759,0.861499919552094,81.90143604460215,CHS,32.89916667,-80.03888889,US,SC,east
14,14,0.8813178952576319,0.4139362799727899,0.3423673075043759,0.861499919552094,81.90143604460215,CID,41.88444444,-91.70611111,US,IA,centre
15,15,0.826133795993646,1.5751648895577117,0.3423673075043759,0.861499919552094,81.90143604460215,CLE,41.41083333,-81.84944444,US,OH,east
16,16,0.6729342944875457,1.1999740989149288,0.3423673075043759,0.861499919552094,81.90143604460215,CLT,35.21916667,-80.93583333,US,NC,east
17,17,0.69493095927325,0.8454959425306557,0.3423673075043759,0.861499919552094,81.90143604460215,DAY,39.90111111,-84.22,US,OH,east
18,18,0.7149521422374027,1.765976171500753,0.3423673075043759,0.861499919552094,81.90143604460215,DFW,32.89444444,-97.02972222,US,TX,centre
19,19,0.7964315792681054,0.3021686453325593,0.3423673075043759,0.861499919552094,81.90143604460215,DLH,46.8425,-92.19027778,US,MN,centre
